part,#clusters,train_crops,test_crops,best_val_acc,last_val_acc,last_train_acc,best_epoch,epochs_logged,emb_dim
fin,1,3163,349,1.0,1.0,1.0,1,10,128
hand,1,3482,414,1.0,1.0,1.0,1,10,128
mouth,1,340,36,1.0,1.0,1.0,1,10,128
sail,1,680,81,1.0,1.0,1.0,1,10,128
engine,1,355,47,0.9999999403953552,0.9999999403953552,1.0,1,10,128
mirror,1,1406,159,0.9999999403953552,0.9999999403953552,1.0,1,10,128
seat,1,369,47,0.9999999403953552,0.9999999403953552,1.0,1,10,128
wing,2,1515,162,0.9135802388191223,0.9135802388191223,0.991478274265925,7,16,128
tier,2,5220,595,0.826917032400767,0.8074955940246582,0.9417113094102769,16,25,128
head,8,17644,2077,0.7579771280288696,0.7549389335844252,0.9340169032414755,18,27,128
tail,6,6964,812,0.6978870779275894,0.6873224526643753,0.9091260305472783,29,38,128
body,11,23867,2933,0.6554515014092127,0.6509554187456766,0.9039073770350599,16,25,128
foot,4,25446,3003,0.6290629208087921,0.6256527851025263,0.9021645224094391,38,47,128
